Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
1405.56,0.88,1.9,3.92,3.1,8.58
1411.32,0.41,1.81,4.01,3.53,7.71
1418.94,0.54,1.84,4.09,4.09,7.02
1422.06,0.22,1.17,3.1,4.31,6.08
1421.78,-0.02,0.74,2.56,4.29,5.59
1422.63,0.06,0.26,2.11,4.36,5.5
1425.9,0.23,0.27,1.45,4.6,5.42
1428.32,0.17,0.46,1.2,4.77,5.27
1434.46,0.43,0.83,1.09,5.22,5.22
1444.64,0.71,1.31,1.59,0.71,4.73
1451.29,0.46,1.61,2.08,1.17,4.69
1456.22,0.34,1.52,2.36,1.52,4.52
1459.71,0.24,1.04,2.37,1.76,3.85
1467.01,0.5,1.08,2.71,2.27,3.95
1467.3,0.02,0.76,2.29,2.29,3.41
1465.54,-0.12,0.4,1.45,2.17,3.06
1458.07,-0.51,-0.61,0.47,1.65,2.55
1454.86,-0.22,-0.85,-0.09,1.42,2.27
1455.15,0.02,-0.71,-0.31,1.44,2.05
1453.4,-0.12,-0.32,-0.93,1.32,1.76
1458.2,0.33,0.23,-0.62,1.65,1.65
1468.41,0.7,0.91,0.2,0.7,1.65
1483.83,1.05,2.09,1.77,1.76,2.24
1500.15,1.1,2.88,3.11,2.88,3.02
1508.55,0.56,2.73,3.67,3.45,3.35
1513.08,0.3,1.97,4.11,3.76,3.14
1515.95,0.19,1.05,3.96,3.96,3.32
1532.47,1.09,1.59,4.36,5.09,4.57
1541.05,0.56,1.85,3.86,5.68,5.69
1545.83,0.31,1.97,3.05,6.01,6.25
1564.23,1.19,2.07,3.69,7.27,7.5
1579.09,0.95,2.47,4.36,8.29,8.65
1588.56,0.6,2.76,4.79,8.94,8.94
1598.41,0.62,2.19,4.3,0.62,8.85
1600.49,0.13,1.36,3.86,0.75,7.86
1604.01,0.22,0.97,3.76,0.97,6.92
1610.75,0.42,0.77,2.97,1.4,6.77
1610.91,0.01,0.65,2.02,1.41,6.47
1614.62,0.23,0.66,1.64,1.64,6.51
1640.62,1.61,1.85,2.64,3.28,7.06
1662.11,1.31,3.18,3.85,4.63,7.86
1665.93,0.23,3.18,3.86,4.87,7.77
1668.26,0.14,1.68,3.57,5.02,6.65
1673.6,0.32,0.69,3.89,5.35,5.99
1683.47,0.59,1.05,4.26,5.97,5.97
1693.07,0.57,1.49,3.2,0.57,5.92
1700.86,0.46,1.63,2.33,1.03,6.27
1707.32,0.38,1.42,2.48,1.42,6.44
1717.22,0.58,1.43,2.93,2,6.61
1724.26,0.41,1.38,3.03,2.42,7.04
1733.23,0.52,1.52,2.96,2.96,7.35
1756.28,1.33,2.27,3.73,4.32,7.05
1768.57,0.7,2.57,3.98,5.06,6.41
1773.52,0.28,2.32,3.88,5.35,6.46
1788.24,0.83,1.82,4.14,6.22,7.19
1800.94,0.71,1.83,4.45,6.98,7.61
1812.65,0.65,2.21,4.58,7.67,7.67
1822.08,0.52,1.89,3.75,0.52,7.62
1828.64,0.36,1.54,3.4,0.88,7.51
1839.61,0.6,1.49,3.73,1.49,7.75
1854.33,0.8,1.77,3.7,2.3,7.98
1858.22,0.21,1.62,3.18,2.51,7.77
1866.02,0.42,1.44,2.94,2.94,7.66
1888.23,1.19,1.83,3.63,4.17,7.51
1900.5,0.65,2.28,3.93,4.85,7.46
1914.18,0.72,2.58,4.05,5.6,7.93
1939.26,1.31,2.7,4.58,6.98,8.45
1997.83,3.02,5.12,7.51,10.22,10.93
2039.78,2.1,6.56,9.31,12.53,12.53
2085.68,2.25,7.55,10.46,2.25,14.47
2118.43,1.57,6.04,11.47,3.86,15.85
2144.49,1.23,5.13,12.03,5.13,16.57
2165.29,0.97,3.82,11.66,6.15,16.77
2178.5,0.61,2.84,9.04,6.8,17.24
2175.23,-0.15,1.43,6.64,6.64,16.57
2179.58,0.2,0.66,4.5,6.85,15.43
2186.99,0.34,0.39,3.24,7.22,15.07
2204.05,0.78,1.32,2.78,8.05,15.14
2210.44,0.29,1.42,2.09,8.37,13.98
2217.96,0.34,1.42,1.81,8.74,11.02
2229.49,0.52,1.15,2.49,9.3,9.3
2246.43,0.76,1.63,3.07,0.76,7.71
2260.13,0.61,1.9,3.34,1.37,6.69
2270.75,0.47,1.85,3.03,1.85,5.89
2279.15,0.37,1.46,3.11,2.23,5.26
2290.77,0.51,1.36,3.28,2.75,5.15
2307.03,0.71,1.6,3.48,3.48,6.06
2328.02,0.91,2.14,3.63,4.42,6.81
2344.08,0.69,2.33,3.71,5.14,7.18
2351.82,0.33,1.94,3.57,5.49,6.7
2362.17,0.44,1.47,3.64,5.95,6.86
2378.47,0.69,1.47,3.83,6.68,7.24
2398.92,0.86,2,3.98,7.6,7.6
2412.83,0.58,2.14,3.64,0.58,7.41
2427.07,0.59,2.04,3.54,1.17,7.39
2441.87,0.61,1.79,3.83,1.79,7.54
2463.11,0.87,2.08,4.27,2.68,8.07
2475.18,0.49,1.98,4.07,3.18,8.05
2474.68,-0.02,1.34,3.16,3.16,7.27
2480.87,0.25,0.72,2.82,3.42,6.57
2485.09,0.17,0.4,2.39,3.59,6.02
2493.79,0.35,0.77,2.13,3.95,6.04
2512.49,0.75,1.27,2,4.73,6.36
2526.31,0.55,1.66,2.07,5.31,6.22
2535.4,0.36,1.67,2.45,5.69,5.69
2550.36,0.59,1.51,2.8,0.59,5.7
2560.82,0.41,1.37,3.05,1,5.51
2571.83,0.43,1.44,3.13,1.44,5.32
2577.23,0.21,1.05,2.58,1.65,4.63
2579.81,0.1,0.74,2.12,1.75,4.23
2574.39,-0.21,0.1,1.54,1.54,4.03
2579.28,0.19,0.08,1.13,1.73,3.97
2580.57,0.05,0.03,0.77,1.78,3.84
2585.99,0.21,0.45,0.55,2,3.7
2594.52,0.33,0.59,0.67,2.33,3.26
2602.56,0.31,0.85,0.88,2.65,3.02
2615.05,0.48,1.12,1.58,3.14,3.14
2626.56,0.44,1.23,1.83,0.44,2.99
2638.12,0.44,1.37,2.23,0.88,3.02
2647.88,0.37,1.26,2.39,1.26,2.96
2654.5,0.25,1.06,2.31,1.51,3
2661.93,0.28,0.9,2.28,1.79,3.18
2669.38,0.28,0.81,2.08,2.08,3.69
2675.79,0.24,0.8,1.87,2.32,3.74
2688.37,0.47,0.99,1.9,2.8,4.18
2693.21,0.18,0.89,1.71,2.99,4.15
2701.29,0.3,0.95,1.76,3.3,4.12
2711.55,0.38,0.86,1.86,3.69,4.19
2731.62,0.74,1.43,2.33,4.46,4.46
2746.37,0.54,1.67,2.64,0.54,4.56
2759.83,0.49,1.78,2.66,1.03,4.61
2773.08,0.48,1.52,2.97,1.52,4.73
2788.33,0.55,1.53,3.22,2.08,5.04
2810.36,0.79,1.83,3.64,2.88,5.58
2831.16,0.74,2.09,3.64,3.64,6.06
2846.16,0.53,2.07,3.63,4.19,6.37
2854.13,0.28,1.56,3.42,4.48,6.17
2861.55,0.26,1.07,3.19,4.76,6.25
2874.43,0.45,0.99,3.09,5.23,6.41
2884.78,0.36,1.07,2.65,5.61,6.39
2892.86,0.28,1.09,2.18,5.9,5.9
2906.74,0.48,1.12,2.13,0.48,5.84
2922.73,0.55,1.32,2.4,1.03,5.9
2928.57,0.2,1.23,2.34,1.23,5.61
2942.63,0.48,1.23,2.37,1.72,5.53
2956.46,0.47,1.15,2.48,2.2,5.2
2967.1,0.36,1.32,2.57,2.57,4.8
2974.22,0.24,1.07,2.32,2.81,4.5
2978.68,0.15,0.75,1.91,2.97,4.36
2985.83,0.24,0.63,1.96,3.21,4.34
2994.19,0.28,0.67,1.75,3.5,4.17
3006.47,0.41,0.93,1.69,3.93,4.22
3017.59,0.37,1.06,1.7,4.31,4.31
3040.22,0.75,1.54,2.22,0.75,4.59
3063.93,0.78,1.91,2.86,1.54,4.83
3079.86,0.52,2.06,3.15,2.06,5.17
3097.42,0.57,1.88,3.45,2.65,5.26
3110.74,0.43,1.53,3.47,3.09,5.22
3110.74,0,1,3.09,3.09,4.84
3111.05,0.01,0.44,2.33,3.1,4.6
3112.29,0.04,0.05,1.58,3.14,4.49
3126.29,0.45,0.5,1.51,3.6,4.7
3149.74,0.75,1.24,1.69,4.38,5.2
3175.88,0.83,2.04,2.09,5.25,5.63
3195.89,0.63,2.23,2.74,5.91,5.91
3222.42,0.83,2.31,3.58,0.83,5.99
3248.2,0.8,2.28,4.37,1.64,6.01
3273.86,0.79,2.44,4.72,2.44,6.3
3299.07,0.77,2.38,4.74,3.23,6.51
3314.58,0.47,2.04,4.37,3.71,6.55
3319.55,0.15,1.4,3.87,3.87,6.71
3324.86,0.16,0.78,3.18,4.04,6.87
3337.16,0.37,0.68,2.74,4.42,7.23
3354.85,0.53,1.06,2.47,4.97,7.31
3369.28,0.43,1.34,2.13,5.43,6.97
3386.8,0.52,1.49,2.18,5.97,6.64
3403.73,0.5,1.46,2.54,6.5,6.5
3422.79,0.56,1.59,2.95,0.56,6.22
3438.19,0.45,1.52,3.03,1.01,5.85
3445.41,0.21,1.22,2.7,1.22,5.24
3467.46,0.64,1.31,2.91,1.87,5.1
3479.94,0.36,1.21,2.75,2.24,4.99
3482.72,0.08,1.08,2.32,2.32,4.92
3497.7,0.43,0.87,2.19,2.76,5.2
3512.04,0.41,0.92,2.15,3.18,5.24
3532.06,0.57,1.42,2.51,3.77,5.28
3552.9,0.59,1.58,2.46,4.38,5.45
3574.22,0.6,1.77,2.71,5.01,5.53
3602.46,0.79,1.99,3.44,5.84,5.84
3633.44,0.86,2.27,3.88,0.86,6.15
3655.24,0.6,2.27,4.08,1.47,6.31
3672.42,0.47,1.94,3.97,1.94,6.59
3692.62,0.55,1.63,3.93,2.5,6.49
3706.28,0.37,1.4,3.69,2.88,6.5
3715.92,0.26,1.18,3.15,3.15,6.7
3717.03,0.03,0.66,2.3,3.18,6.27
3725.95,0.24,0.53,1.93,3.43,6.09
3738.99,0.35,0.62,1.81,3.79,5.86
3760.3,0.57,1.16,1.83,4.38,5.84
3780.61,0.54,1.47,2.01,4.95,5.77
3815.39,0.92,2.04,2.68,5.91,5.91
3836.37,0.55,2.02,3.21,0.55,5.59
3862.84,0.69,2.18,3.67,1.24,5.68
3898.38,0.92,2.18,4.26,2.18,6.15
3924.5,0.67,2.3,4.37,2.86,6.28
3942.55,0.46,2.06,4.28,3.33,6.37
3958.32,0.4,1.54,3.75,3.75,6.52
3958.72,0.01,0.87,3.19,3.76,6.5
3968.62,0.25,0.66,2.74,4.02,6.51
3991.24,0.57,0.83,2.38,4.61,6.75
4008,0.42,1.24,2.13,5.05,6.59
4028.44,0.51,1.51,2.18,5.58,6.56
4059.86,0.78,1.72,2.57,6.41,6.41
4110.2,1.24,2.55,3.83,1.24,7.14
4160.34,1.22,3.27,4.83,2.48,7.7
4215.26,1.32,3.83,5.61,3.83,8.13
4245.19,0.71,3.28,5.92,4.56,8.17
4276.6,0.74,2.79,6.16,5.34,8.47
4310.39,0.79,2.26,6.17,6.17,8.89
4337.11,0.62,2.17,5.52,6.83,9.56
4346.65,0.22,1.64,4.48,7.06,9.53
4370.12,0.54,1.39,3.67,7.64,9.49
4405.95,0.82,1.59,3.79,8.52,9.93
4450.45,1.01,2.39,4.07,9.62,10.48
4493.17,0.96,2.82,4.24,10.67,10.67
4550.23,1.27,3.27,4.91,1.27,10.71
4591.18,0.9,3.16,5.63,2.18,10.36
4610.92,0.43,2.62,5.51,2.62,9.39
4639.05,0.61,1.95,5.29,3.25,9.28
4675.23,0.78,1.83,5.05,4.05,9.32
4691.59,0.35,1.75,4.42,4.42,8.84
4715.99,0.52,1.66,3.64,4.96,8.74
4736.74,0.44,1.32,3.17,5.42,8.97
4740.53,0.08,1.04,2.81,5.51,8.48
4752.86,0.26,0.78,2.45,5.78,7.87
4761.42,0.18,0.52,1.84,5.97,6.99
4775.7,0.3,0.74,1.79,6.29,6.29
4793.85,0.38,0.86,1.65,0.38,5.35
4809.67,0.33,1.01,1.54,0.71,4.76
4821.69,0.25,0.96,1.71,0.96,4.57
4828.44,0.14,0.72,1.59,1.1,4.08
4843.41,0.31,0.7,1.72,1.42,3.6
4832.27,-0.23,0.22,1.18,1.18,3
4843.87,0.24,0.32,1.04,1.43,2.71
4853.07,0.19,0.2,0.9,1.62,2.46
4860.83,0.16,0.59,0.81,1.78,2.54
4881.25,0.42,0.77,1.09,2.21,2.7
4894.92,0.28,0.86,1.06,2.5,2.8
4916.46,0.44,1.14,1.74,2.95,2.95
4930.72,0.29,1.01,1.79,0.29,2.86
4946.5,0.32,1.05,1.93,0.61,2.84
4950.95,0.09,0.7,1.85,0.7,2.68
4961.84,0.22,0.63,1.65,0.92,2.76
4981.69,0.4,0.71,1.77,1.33,2.86
5044.46,1.26,1.89,2.6,2.6,4.39
5061.11,0.33,2,2.64,2.94,4.48
5056.56,-0.09,1.5,2.23,2.85,4.19
5080.83,0.48,0.72,2.62,3.34,4.53
5103.69,0.45,0.84,2.86,3.81,4.56
5092.97,-0.21,0.72,2.23,3.59,4.05
5100.61,0.15,0.39,1.11,3.75,3.75
5116.93,0.32,0.26,1.1,0.32,3.78
5138.93,0.43,0.9,1.63,0.75,3.89
5177.47,0.75,1.51,1.9,1.51,4.58
5206.98,0.57,1.76,2.02,2.09,4.94
5213.75,0.13,1.46,2.37,2.22,4.66
5214.27,0.01,0.71,2.23,2.23,3.37
5224.18,0.19,0.33,2.1,2.42,3.22
5229.93,0.11,0.31,1.77,2.54,3.43
5227.84,-0.04,0.26,0.97,2.49,2.89
5233.07,0.1,0.17,0.5,2.6,2.54
5259.76,0.51,0.57,0.88,3.12,3.27
5320.25,1.15,1.77,2.03,4.31,4.31
5331.42,0.21,1.88,2.05,0.21,4.19
5344.75,0.25,1.62,2.2,0.46,4.01
5348.49,0.07,0.53,2.31,0.53,3.3
5331.91,-0.31,0.01,1.89,0.22,2.4
5311.65,-0.38,-0.62,0.99,-0.16,1.88
5325.46,0.26,-0.43,0.1,0.1,2.13
5344.63,0.36,0.24,0.25,0.46,2.31
5357.46,0.24,0.86,0.24,0.7,2.44
5391.75,0.64,1.24,0.81,1.34,3.14
5438.12,0.86,1.75,1.99,2.22,3.92
5486.52,0.89,2.41,3.29,3.13,4.31
5560.59,1.35,3.13,4.42,4.52,4.52
5574.49,0.25,2.51,4.3,0.25,4.56
5622.43,0.86,2.48,4.95,1.11,5.2
5674.72,0.93,2.05,5.25,2.05,6.1
5692.31,0.31,2.11,4.67,2.37,6.76
5739.56,0.83,2.08,4.61,3.22,8.06
5769.98,0.53,1.68,3.77,3.77,8.35
5825.37,0.96,2.34,4.5,4.76,8.99
5876.05,0.87,2.38,4.51,5.67,9.68
5944.21,1.16,3.02,4.75,6.9,10.25
6018.51,1.25,3.32,5.73,8.24,10.67
6075.69,0.95,3.4,5.86,9.26,10.74
6120.04,0.73,2.96,6.07,10.06,10.06
6153.09,0.54,2.24,5.63,0.54,10.38
6215.24,1.01,2.3,5.77,1.56,10.54
6315.93,1.62,3.2,6.25,3.2,11.3
6382.88,1.06,3.73,6.05,4.29,12.13
6412.88,0.47,3.18,5.55,4.78,11.73
6455.85,0.67,2.22,5.49,5.49,11.89
6411.95,-0.68,0.46,4.21,4.77,10.07
6388.87,-0.36,-0.37,2.79,4.39,8.73
6370.34,-0.29,-1.32,0.86,4.09,7.17
6407.93,0.59,-0.06,0.39,4.7,6.47
6434.2,0.41,0.71,0.33,5.13,5.9
6474.09,0.62,1.63,0.28,5.79,5.79
6508.4,0.53,1.57,1.5,0.53,5.77
6563.07,0.84,2,2.73,1.37,5.6
6609.67,0.71,2.09,3.76,2.09,4.65
6649.99,0.61,2.18,3.78,2.72,4.18
6665.28,0.23,1.56,3.59,2.95,3.94
6659.95,-0.08,0.76,2.87,2.87,3.16
6667.94,0.12,0.27,2.45,2.99,3.99
6683.28,0.23,0.27,1.83,3.23,4.61
6700.66,0.26,0.61,1.38,3.5,5.19
6716.74,0.24,0.73,1,3.75,4.82
6735.55,0.28,0.78,1.05,4.04,4.68
6773.27,0.56,1.08,1.7,4.62,4.62
6801.72,0.42,1.27,2.01,0.42,4.51
6858.17,0.83,1.82,2.62,1.25,4.5
6869.14,0.16,1.42,2.51,1.42,3.93
6895.24,0.38,1.37,2.66,1.8,3.69
6926.96,0.46,1,2.84,2.27,3.93
